مواصلات الشغل ,24,Expense,Liabilities,1/6/2025,,Work,15
مواصلات الشغل ,36,Expense,Liabilities,1/7/2025,,Work,15
لب,40,Expense,Spendings,1/7/2025,,,
مواصلات الشغل ,42,Expense,Liabilities,1/8/2025,,Work,15
,500,Expense,Charity,1/9/2025,,Charity,
مواصلات الشغل ,24,Expense,Liabilities,1/9/2025,,Work,15
,100,Expense,Charity,1/12/2025,,Charity,
shein,332,Expense,Spendings,1/12/2025,,,41
مواصلات الشغل ,36,Expense,Liabilities,1/13/2025,,Work,15
مواصلات,118,Expense,Liabilities,1/11/2025,,,15
مواصلات الشغل ,29,Expense,Liabilities,1/14/2025,,Work,15
icecream,52,Expense,Spendings,1/14/2025,,,
waffles,249.49,Expense,Spendings,1/16/2025,,,
error,10,Expense,,1/16/2025,,,47
مواصلات,50,Expense,Liabilities,1/17/2025,,,15
مواصلات,50,Expense,Liabilities,1/19/2025,,Work,15
بن,198.8,Expense,Spendings,1/20/2025,,Coffee,9
مواصلات,50,Expense,Liabilities,1/20/2025,,Work,15
waffles,407.98,Expense,Spendings,1/20/2025,,,
